index,year,TOT_REG_CD,num,population
147,2023,31150510050208,to_in_008,317
148,2023,31150510050209,to_in_008,262
149,2023,31150510050209,to_in_007,264
150,2023,31150510050209,to_in_001,526
151,2023,31150510050210,to_in_001,536
152,2023,31150510050210,to_in_008,265
153,2023,31150510050210,to_in_007,271
154,2023,31150510050301,to_in_001,457
155,2023,31150510050301,to_in_007,224
156,2023,31150510050301,to_in_008,233
157,2023,31150510050401,to_in_007,349
158,2023,31150510050401,to_in_001,710
159,2023,31150510050401,to_in_008,361
160,2023,31150510050402,to_in_008,279
161,2023,31150510050402,to_in_001,560
162,2023,31150510050402,to_in_007,281
163,2023,31150510050501,to_in_008,240
164,2023,31150510050501,to_in_007,261
165,2023,31150510050501,to_in_001,501
166,2023,31150510050502,to_in_008,274
167,2023,31150510050502,to_in_001,555
168,2023,31150510050502,to_in_007,281
169,2023,31150510050503,to_in_001,635
170,2023,31150510050503,to_in_007,309
171,2023,31150510050503,to_in_008,326
172,2023,31150510050504,to_in_008,238
173,2023,31150510050504,to_in_001,453
174,2023,31150510050504,to_in_007,215
175,2023,31150510050701,to_in_001,353
176,2023,31150510050701,to_in_008,191
177,2023,31150510050701,to_in_007,162
178,2023,31150510050702,to_in_001,678
179,2023,31150510050702,to_in_008,341
180,2023,31150510050702,to_in_007,337
181,2023,31150510050703,to_in_001,640
182,2023,31150510050703,to_in_007,289
183,2023,31150510050703,to_in_008,351
184,2023,31150510050801,to_in_007,314
185,2023,31150510050801,to_in_001,663
186,2023,31150510050801,to_in_008,349
187,2023,31150510050901,to_in_007,174
188,2023,31150510050901,to_in_008,179
189,2023,31150510050901,to_in_001,353
190,2023,31150510050902,to_in_001,330
191,2023,31150510050902,to_in_008,170
192,2023,31150510050902,to_in_007,160
193,2023,31150510051001,to_in_007,223
194,2023,31150510051001,to_in_008,228
195,2023,31150510051001,to_in_001,451
196,2023,31150510051002,to_in_007,211
197,2023,31150510051002,to_in_001,443
198,2023,31150510051002,to_in_008,232
199,2023,31150510051101,to_in_008,291
200,2023,31150510051101,to_in_001,550
201,2023,31150510051101,to_in_007,259
202,2023,31150510051102,to_in_008,285
203,2023,31150510051102,to_in_001,547
204,2023,31150510051102,to_in_007,262
205,2023,31150510051103,to_in_008,318
206,2023,31150510051103,to_in_007,291
207,2023,31150510051103,to_in_001,609
208,2023,31150510051201,to_in_001,463
209,2023,31150510051201,to_in_007,232
210,2023,31150510051201,to_in_008,231
211,2023,31150510051202,to_in_007,236
212,2023,31150510051202,to_in_008,234
213,2023,31150510051202,to_in_001,470
214,2023,31150510051301,to_in_001,448
215,2023,31150510051301,to_in_008,223
216,2023,31150510051301,to_in_007,225
217,2023,31150510051302,to_in_008,270
218,2023,31150510051302,to_in_007,256
219,2023,31150510051302,to_in_001,526
220,2023,31150510051303,to_in_008,252
221,2023,31150510051303,to_in_007,246
222,2023,31150510051303,to_in_001,498
223,2023,31150510051304,to_in_007,252
224,2023,31150510051304,to_in_008,255
225,2023,31150510051304,to_in_001,507
226,2023,31150510051401,to_in_007,434
227,2023,31150510051401,to_in_008,430
228,2023,31150510051401,to_in_001,864
229,2023,31150510051501,to_in_001,466
230,2023,31150510051501,to_in_008,228
231,2023,31150510051501,to_in_007,238
232,2023,31150510051502,to_in_008,289
233,2023,31150510051502,to_in_001,600
234,2023,31150510051502,to_in_007,311
235,2023,31150510051503,to_in_001,400
236,2023,31150510051503,to_in_008,205
237,2023,31150510051503,to_in_007,195
238,2023,31150510051504,to_in_001,508
239,2023,31150510051504,to_in_007,265
240,2023,31150510051504,to_in_008,243
241,2023,31150510051505,to_in_008,266
242,2023,31150510051505,to_in_001,523
243,2023,31150510051505,to_in_007,257
244,2023,31150510051506,to_in_007,221
245,2023,31150510051506,to_in_001,460
246,2023,31150510051506,to_in_008,239
247,2023,31150510051507,to_in_008,311
248,2023,31150510051507,to_in_001,601
249,2023,31150510051507,to_in_007,290
250,2023,31150520010001,to_in_007,291
251,2023,31150520010001,to_in_008,259
252,2023,31150520010001,to_in_001,550
253,2023,31150520010002,to_in_001,444
254,2023,31150520010002,to_in_008,227
255,2023,31150520010002,to_in_007,217
256,2023,31150520010003,to_in_007,260
257,2023,31150520010003,to_in_001,488
258,2023,31150520010003,to_in_008,228
259,2023,31150520010004,to_in_007,220
260,2023,31150520010004,to_in_001,426
261,2023,31150520010004,to_in_008,206
262,2023,31150520010005,to_in_008,291
263,2023,31150520010005,to_in_001,602
264,2023,31150520010005,to_in_007,311
265,2023,31150520010006,to_in_001,568
266,2023,31150520010006,to_in_007,335
267,2023,31150520010006,to_in_008,233
268,2023,31150520010007,to_in_001,427
269,2023,31150520010007,to_in_007,219
270,2023,31150520010007,to_in_008,208
271,2023,31150520010008,to_in_001,507
272,2023,31150520010008,to_in_008,223
273,2023,31150520010008,to_in_007,284
274,2023,31150520010009,to_in_008,278
275,2023,31150520010009,to_in_001,566
276,2023,31150520010009,to_in_007,288
277,2023,31150520010010,to_in_001,419
278,2023,31150520010010,to_in_008,209
279,2023,31150520010010,to_in_007,210
280,2023,31150520010101,to_in_008,278
281,2023,31150520010101,to_in_001,553
282,2023,31150520010101,to_in_007,275
283,2023,31150520010102,to_in_007,288
284,2023,31150520010102,to_in_001,595
285,2023,31150520010102,to_in_008,307
286,2023,31150520020001,to_in_007,189
287,2023,31150520020001,to_in_001,363
288,2023,31150520020001,to_in_008,174
289,2023,31150520020002,to_in_001,534
290,2023,31150520020002,to_in_008,256
291,2023,31150520020002,to_in_007,278
292,2023,31150520020003,to_in_007,217
293,2023,31150520020003,to_in_001,411
294,2023,31150520020003,to_in_008,194
295,2023,31150520020004,to_in_008,247
296,2023,31150520020004,to_in_001,524
297,2023,31150520020004,to_in_007,277
298,2023,31150520020005,to_in_001,454
299,2023,31150520020005,to_in_007,260
300,2023,31150520020005,to_in_008,194
301,2023,31150520020006,to_in_008,240
302,2023,31150520020006,to_in_007,313
303,2023,31150520020006,to_in_001,553
304,2023,31150520020007,to_in_007,251
305,2023,31150520020007,to_in_001,502
306,2023,31150520020007,to_in_008,251
307,2023,31150520020008,to_in_007,217
308,2023,31150520020008,to_in_001,411
309,2023,31150520020008,to_in_008,194
310,2023,31150520020009,to_in_007,209
311,2023,31150520020009,to_in_001,408
312,2023,31150520020009,to_in_008,199
313,2023,31150520020010,to_in_007,272
314,2023,31150520020010,to_in_008,279
315,2023,31150520020010,to_in_001,551
316,2023,31150520020011,to_in_008,256
317,2023,31150520020011,to_in_007,242
318,2023,31150520020011,to_in_001,498
319,2023,31150520020012,to_in_001,461
320,2023,31150520020012,to_in_007,232
321,2023,31150520020012,to_in_008,229
322,2023,31150520020013,to_in_001,480
323,2023,31150520020013,to_in_008,218
324,2023,31150520020013,to_in_007,262
325,2023,31150520020014,to_in_001,466
326,2023,31150520020014,to_in_007,259
327,2023,31150520020014,to_in_008,207
328,2023,31150520020015,to_in_001,458
329,2023,31150520020015,to_in_008,233
330,2023,31150520020015,to_in_007,225
331,2023,31150520020016,to_in_008,267
332,2023,31150520020016,to_in_007,243
333,2023,31150520020016,to_in_001,510
334,2023,31150520020017,to_in_001,466
335,2023,31150520020017,to_in_007,237
336,2023,31150520020017,to_in_008,229
337,2023,31150520020018,to_in_001,554
338,2023,31150520020018,to_in_008,247
339,2023,31150520020018,to_in_007,307
340,2023,31150520020019,to_in_007,231
341,2023,31150520020019,to_in_001,459
342,2023,31150520020019,to_in_008,228
343,2023,31150520020020,to_in_001,437
344,2023,31150520020020,to_in_008,205
345,2023,31150520020020,to_in_007,232
346,2023,31150520020021,to_in_007,231
347,2023,31150520020021,to_in_001,453
348,2023,31150520020021,to_in_008,222
349,2023,31150520020022,to_in_007,272
350,2023,31150520020022,to_in_001,552
351,2023,31150520020022,to_in_008,280
352,2023,31150520020023,to_in_008,205
353,2023,31150520020023,to_in_007,292
354,2023,31150520020023,to_in_001,497
355,2023,31150520020024,to_in_007,262
356,2023,31150520020024,to_in_008,188
357,2023,31150520020024,to_in_001,450
358,2023,31150520020025,to_in_007,222
359,2023,31150520020025,to_in_008,245
360,2023,31150520020025,to_in_001,467
361,2023,31150520020026,to_in_001,601
362,2023,31150520020026,to_in_008,282
363,2023,31150520020026,to_in_007,319
364,2023,31150520020027,to_in_008,259
365,2023,31150520020027,to_in_007,256
366,2023,31150520020027,to_in_001,515
367,2023,31150520020028,to_in_001,573
368,2023,31150520020028,to_in_008,297
369,2023,31150520020028,to_in_007,276
370,2023,31150520020029,to_in_008,195
371,2023,31150520020029,to_in_001,428
372,2023,31150520020029,to_in_007,233
373,2023,31150520020030,to_in_001,402
374,2023,31150520020030,to_in_008,206
375,2023,31150520020030,to_in_007,196
376,2023,31150520020031,to_in_001,488
377,2023,31150520020031,to_in_008,228
378,2023,31150520020031,to_in_007,260
379,2023,31150520020032,to_in_001,493
380,2023,31150520020032,to_in_008,257
381,2023,31150520020032,to_in_007,236
382,2023,31150520020033,to_in_001,586
383,2023,31150520020033,to_in_008,288
384,2023,31150520020033,to_in_007,298
385,2023,31150520020034,to_in_007,186
386,2023,31150520020034,to_in_001,382
387,2023,31150520020034,to_in_008,196
388,2023,31150520020035,to_in_001,430
389,2023,31150520020035,to_in_008,182
390,2023,31150520020035,to_in_007,248
391,2023,31150520020036,to_in_007,307
392,2023,31150520020036,to_in_008,279
393,2023,31150520020036,to_in_001,586
394,2023,31150520020037,to_in_001,487
395,2023,31150520020037,to_in_008,240
396,2023,31150520020037,to_in_007,247
397,2023,31150520020038,to_in_007,220
398,2023,31150520020038,to_in_008,225
399,2023,31150520020038,to_in_001,445
400,2023,31150520020039,to_in_001,546
401,2023,31150520020039,to_in_008,282
402,2023,31150520020039,to_in_007,264
403,2023,31150520020040,to_in_008,201
404,2023,31150520020040,to_in_001,441
405,2023,31150520020040,to_in_007,240
406,2023,31150520020041,to_in_008,278
407,2023,31150520020041,to_in_007,309
408,2023,31150520020041,to_in_001,587
409,2023,31150520020201,to_in_008,234
410,2023,31150520020201,to_in_001,471
411,2023,31150520020201,to_in_007,237
412,2023,31150520020501,to_in_007,305
413,2023,31150520020501,to_in_001,595
414,2023,31150520020501,to_in_008,290
415,2023,31150520020502,to_in_008,252
416,2023,31150520020502,to_in_001,505
417,2023,31150520020502,to_in_007,253
418,2023,31150520020601,to_in_007,198
419,2023,31150520020601,to_in_008,195
420,2023,31150520020601,to_in_001,393
421,2023,31150520020602,to_in_008,221
422,2023,31150520020602,to_in_001,454
423,2023,31150520020602,to_in_007,233
424,2023,31150520020701,to_in_007,187
425,2023,31150520020701,to_in_008,201
426,2023,31150520020701,to_in_001,388
427,2023,31150520020702,to_in_007,216
428,2023,31150520020702,to_in_001,440
429,2023,31150520020702,to_in_008,224
430,2023,31150520020703,to_in_001,434
431,2023,31150520020703,to_in_008,229
432,2023,31150520020703,to_in_007,205
433,2023,31150520020901,to_in_008,263
434,2023,31150520020901,to_in_001,499
435,2023,31150520020901,to_in_007,236
436,2023,31150520021001,to_in_001,323
437,2023,31150520021001,to_in_008,166
438,2023,31150520021001,to_in_007,157
439,2023,31150520021301,to_in_008,210
440,2023,31150520021301,to_in_007,209
441,2023,31150520021301,to_in_001,419
442,2023,31150520021401,to_in_007,284
